Month,Task Id,Task,Project Id,Project,Hours (h)
1,66391038,CPS GEN-5 PRODUCT LINE SUPPORT | CPS5,66389248,PRODUCT LINE - SUPPORT,426.5
1,82982100,Project Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,48.0
1,91971495,DAB Initial Investigation,91971493,MISC | R&DX | CE | 12/7/2026,89.0
2,66391038,CPS GEN-5 PRODUCT LINE SUPPORT | CPS5,66389248,PRODUCT LINE - SUPPORT,336.0
2,82982100,Project Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,46.5
2,91971495,DAB Initial Investigation,91971493,MISC | R&DX | CE | 12/7/2026,50.0
2,92739080,Topology Dimensioning,92723243,150KW ISOLATED DC/DC - DAB| R&DN | RE | 12/1/2027,51.0
3,66391038,CPS GEN-5 PRODUCT LINE SUPPORT | CPS5,66389248,PRODUCT LINE - SUPPORT,470.5
3,82982100,Project Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,76.0
3,91971495,DAB Initial Investigation,91971493,MISC | R&DX | CE | 12/7/2026,63.0
3,92739080,Topology Dimensioning,92723243,150KW ISOLATED DC/DC - DAB| R&DN | RE | 12/1/2027,22.0
4,66391038,CPS GEN-5 PRODUCT LINE SUPPORT | CPS5,66389248,PRODUCT LINE - SUPPORT,558.5
4,82982100,Project Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,90.0
4,91971495,DAB Initial Investigation,91971493,MISC | R&DX | CE | 12/7/2026,53.0
4,93076386,VALIDATION TESTING,93076382,CPS G5 AUSTRALIA | R&DO | CE | 04/30/2026,40.0
5,66391038,CPS GEN-5 PRODUCT LINE SUPPORT | CPS5,66389248,PRODUCT LINE - SUPPORT,478.0
5,82982100,Project Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,77.0
5,91971495,DAB Initial Investigation,91971493,MISC | R&DX | CE | 12/7/2026,20.0
5,93076386,VALIDATION TESTING,93076382,CPS G5 AUSTRALIA | R&DO | CE | 04/30/2026,30.0
5,94279175,REQUIREMENTS & SPECIFICATION DEVELOPMENT,94279174,CPS G5.1 | R&DAMMYY | CE | xx/xx/2026,9.0
6,66391038,CPS GEN-5 PRODUCT LINE SUPPORT | CPS5,66389248,PRODUCT LINE - SUPPORT,443.0
6,82982100,Project Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,100.0
6,91971495,DAB Initial Investigation,91971493,MISC | R&DX | CE | 12/7/2026,46.0
6,92780832,VALIDATION TESTING,92777746,CPS GEN5 2ND SOURCING | R&D4 | CE | 03/30/2026,9.0
6,93076386,VALIDATION TESTING,93076382,CPS G5 AUSTRALIA | R&DO | CE | 04/30/2026,4.0
6,94279175,REQUIREMENTS & SPECIFICATION DEVELOPMENT,94279174,CPS G5.1 | R&DAMMYY | CE | xx/xx/2026,21.0
6,94452732,PSCAD Modeling,92723205,R&D SUPPORT - EMT MODELEING | R&DB,132.0
6,94453589,ME Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,19.0
7,66391038,CPS GEN-5 PRODUCT LINE SUPPORT | CPS5,66389248,PRODUCT LINE - SUPPORT,259.79555555555555
7,82982100,Project Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,62.0
7,91971495,DAB Initial Investigation,91971493,MISC | R&DX | CE | 12/7/2026,31.0
7,92739080,Topology Dimensioning,92723243,150KW ISOLATED DC/DC - DAB| R&DN | RE | 12/1/2027,5.0
7,92780832,VALIDATION TESTING,92777746,CPS GEN5 2ND SOURCING | R&D4 | CE | 03/30/2026,40.0
7,93076386,VALIDATION TESTING,93076382,CPS G5 AUSTRALIA | R&DO | CE | 04/30/2026,6.495555555555556
7,94279175,REQUIREMENTS & SPECIFICATION DEVELOPMENT,94279174,CPS G5.1 | R&DAMMYY | CE | xx/xx/2026,9.0
7,94452732,PSCAD Modeling,92723205,R&D SUPPORT - EMT MODELEING | R&DB,83.49555555555555
7,94453589,ME Support,82757598,CPS GEN5 | R&DE | CE | 06/15/2026,10.0
